Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,0.389129285,0.515673836,1.276363569,1.017141997,0.835715577,0.646593653,0.684677336,1.172903097,1.263033372,1.153976345,1.643418294,1.07055145,1.040260352,1.138906092,1.084449605,0.824821431,0.889788706,0.781178288,0.748649203,0.811293866,1.261702735,1.218075412,0.914438525,..,..
Australia,AUS,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,1505930332,1944090360,5156508819,3743082550,3217504973,2935535183,4087523694,7846721719,9068579613,9416446972,16598524767,9592140996,11442863875,15261341630,16266744075,12702250044,12723978490,10311553402,8834060590,10465690867,17411497743,16444018059,11887700824,..,..
Australia,AUS,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1.170228207,1.197511873,1.183077814,1.229157827,1.21303175,1.224798051,1.179749332,1.129785751,1.174375274,1.169025596,1.048222297,1.120280274,1.340245502,1.673824991,1.720741046,2.138830763,2.373422497,2.1543942,..,..,..,..,..,..,..
Australia,AUS,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,3.984580273,3.87964291,3.894392592,3.974442629,4.076456129,3.046319198,2.827999454,2.84867343,2.765651434,2.814856406,2.765429563,2.854496122,3.246404581,3.087020466,3.146192924,3.380803171,3.305011861,3.330110108,..,..,..,..,..,..,..
Australia,AUS,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,3.153171923,3.136519675,3.134205068,3.262277081,3.224175353,3.177011331,3.241802793,3.256213107,3.173863195,3.152992091,3.065224764,3.105716612,3.034885696,3.00564186,3.043656097,2.99880621,2.953480086,2.878734123,..,..,..,..,..,..,..
Australia,AUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.546100636,0.586857342,0.586093851,0.712995786,0.878273184,1.063077439,1.127455491,2.099436384,2.456096628,2.74673943,3.215906333,2.740885548,3.267748792,3.827385618,5.007008936,5.984672764,7.500886153,8.34165755,..,..,..,..,..,..,..
Australia,AUS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,1065000000,1195000000,1230000000,1599000000,1997000000,2345000000,2573000000,4794000000,5716000000,6674000000,7817000000,6800000000,8256000000,9718000000,12573000000,14939000000,18622000000,21044000000,..,..,..,..,..,..,..
Australia,AUS,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,8.434050016,8.544053588,8.381618572,8.098454953,7.860918822,8.440698866,8.186650191,8.803706639,9.299307773,8.648072467,8.115257556,7.497934259,8.611879628,10.42665228,10.59265336,13.26410839,14.90671221,13.63784109,..,..,..,..,..,..,..
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.6,8.51,8.42,8.37,8.74,7.15,6.68,6.71,6.85,6.95,6.79,7.15,8.16,8.32,8.3,9.22,9.33,9.32,9.36,9.65,9.6,10.06,10.89,..,..
Australia,AUS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,26440.83187,26153.15201,25855.54256,25525.68779,25236.96847,24948.35766,24683.03125,24384.38836,24057.5433,23622.47596,23153.81394,22681.53561,22331.40808,22023.25297,21642.10339,21272.79729,20957.85401,20658.38526,20338.22047,20004.71493,19706.29371,19415.77691,19177.33221,..,..
Australia,AUS,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,..,..
Australia,AUS,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,30569.6,30619.8,33071,35227.4,35872.4,35846.9,36273.9,37998.2,38693.3,40927.9,41157.8,42003.6,46291.6,44372.6,45806.8,49049.2,52645.6,54964.5,55003.9,56590.8,56519,60095.3,59586.3,..,..
Australia,AUS,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,3.835690968,3.247183565,3.101560916,2.923119216,3.338554925,5.92401803,4.412620794,6.055802156,4.592269478,4.920144256,6.16747182,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,2631.775478,2695.288094,2760.802719,2758.246344,2804.485557,2812.91039,2936.217496,2951.042353,2968.787794,3046.958034,3121.957662,3106.078518,3143.384438,3143.684628,3184.758294,3193.794791,3148.002299,3254.405039,3315.30765,3364.40765,3377.50765,3348.60765,3152.60765,..,..
Australia,AUS,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,4.365177559,4.512230189,4.668461859,5.035686742,5.168385688,5.358815815,5.616108547,5.870738963,6.026527653,6.24179294,6.290017496,6.87525771,6.794895507,7.313563065,7.685218004,8.395111393,8.788188011,8.43416433,..,..,..,..,..,..,..
Australia,AUS,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,6.464123706,6.639657344,6.776191658,7.068757463,7.101937519,7.234235784,7.413338789,7.592991549,7.491279397,7.516548568,7.507088125,7.621988701,7.761866527,7.90313844,8.315375755,8.54814894,8.855312708,8.674192784,..,..,..,..,..,..,..
Australia,AUS,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,24.94354342,20.8426144,20.73614508,19.38072742,19.47717892,25.22224845,22.14039592,26.22670807,23.6018124,25.13291445,28.39025908,..,..,..,..,..,..,..,..,..,..,..,..,..,..
